Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02111","Cattle","2020","2020","An","5326747","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5112","Stocks","02151","Chickens","2020","2020","1000 An","13525","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02123","Goats","2020","2020","An","7967673","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02122","Sheep","2020","2020","An","12817638","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02112","Buffalo","2020","2020","An","0","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02111","Cattle","2020","2020","An","362583","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02151","Chickens","2020","2020","1000 An","6774","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02123","Goats","2020","2020","An","774332","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02122","Sheep","2020","2020","An","1557861","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02140","Swine / pigs","2020","2020","An","158401","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02111","Cattle","2020","2020","An","1740183","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5112","Stocks","02151","Chickens","2020","2020","1000 An","138121","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02123","Goats","2020","2020","An","4908168","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02122","Sheep","2020","2020","An","30905560","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02140","Swine / pigs","2020","2020","An","4874","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02111","Cattle","2020","2020","An","5164900","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5112","Stocks","02151","Chickens","2020","2020","1000 An","40265","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02123","Goats","2020","2020","An","4359457","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02122","Sheep","2020","2020","An","1152109","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02140","Swine / pigs","2020","2020","An","3150237","E","Estimated value",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02111","Cattle","2020","2020","An","3474","I","Imputed value",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5112","Stocks","02151","Chickens","2020","2020","1000 An","160","I","Imputed value",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02123","Goats","2020","2020","An","23044","I","Imputed value",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02122","Sheep","2020","2020","An","10048","I","Imputed value",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02140","Swine / pigs","2020","2020","An","5227","I","Imputed value",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02111","Cattle","2020","2020","An","54460799","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5112","Stocks","02151","Chickens","2020","2020","1000 An","118463","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02123","Goats","2020","2020","An","4695830","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02122","Sheep","2020","2020","An","14571766","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2020","2020","An","5376958","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5111","Stocks","02112","Buffalo","2020","2020","An","690","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5111","Stocks","02111","Cattle","2020","2020","An","579256","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5112","Stocks","02151","Chickens","2020","2020","1000 An","4396","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5111","Stocks","02123","Goats","2020","2020","An","22934","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5111","Stocks","02122","Sheep","2020","2020","An","639598","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5111","Stocks","02140","Swine / pigs","2020","2020","An","223250","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5111","Stocks","02112","Buffalo","2020","2020","An","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","036","Australia","5111","Stocks","02111","Cattle","2020","2020","An","23503238","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5112","Stocks","02151","Chickens","2020","2020","1000 An","100894","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5111","Stocks","02123","Goats","2020","2020","An","3894873","I","Imputed value",""
"QCL","Crops and livestock products","036","Australia","5111","Stocks","02122","Sheep","2020","2020","An","63529366","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5111","Stocks","02140","Swine / pigs","2020","2020","An","2258046","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02111","Cattle","2020","2020","An","1855430","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5112","Stocks","02151","Chickens","2020","2020","1000 An","16857","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02123","Goats","2020","2020","An","92760","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02122","Sheep","2020","2020","An","393760","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02140","Swine / pigs","2020","2020","An","2806460","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5111","Stocks","02112","Buffalo","2020","2020","An","146652","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5111","Stocks","02111","Cattle","2020","2020","An","2504048","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5112","Stocks","02151","Chickens","2020","2020","1000 An","30176","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5111","Stocks","02123","Goats","2020","2020","An","605925","A","Official figure",""
