Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","22134","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2020","2020","t","39307","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","ha","25558","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","t","17965.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01341","Apples","2020","2020","ha","25643","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2020","2020","t","270857","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01343","Apricots","2020","2020","ha","17481","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2020","2020","t","131788","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0115","Barley","2020","2020","ha","86099","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2020","2020","t","127757","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01229","Cantaloupes and other melons","2020","2020","ha","58942","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2020","2020","t","793496","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01315","Figs","2020","2020","ha","3219","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01315","Figs","2020","2020","t","15994","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","2020","2020","ha","92584","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","2020","2020","t","993382","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01441","Linseed","2020","2020","ha","31089","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01441","Linseed","2020","2020","t","34216","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","140498","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2020","2020","t","271776","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0118","Millet","2020","2020","ha","1437","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0118","Millet","2020","2020","t","1895","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01442","Mustard seed","2020","2020","ha","1457","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01442","Mustard seed","2020","2020","t","1298","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01450","Olives","2020","2020","ha","2208","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01450","Olives","2020","2020","t","7546.09","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2020","2020","ha","19351","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2020","2020","t","326006","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01323","Oranges","2020","2020","ha","415","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01323","Oranges","2020","2020","t","3001","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2020","2020","ha","6396","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2020","2020","t","27772","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2020","2020","ha","449","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01329","Other citrus fruit, n.e.c.","2020","2020","t","3775","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01359.90","Other fruits, n.e.c.","2020","2020","ha","8167","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01359.90","Other fruits, n.e.c.","2020","2020","t","62117.47","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2020","2020","ha","4960","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2020","2020","t","4300","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01709.90","Other pulses n.e.c.","2020","2020","ha","69104","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01709.90","Other pulses n.e.c.","2020","2020","t","43735.01","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01699","Other stimulant, spice and aromatic crops, n.e.c.","2020","2020","ha","7716","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2020","2020","t","20","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01349.20","Other stone fruits","2020","2020","ha","7153","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01349.20","Other stone fruits","2020","2020","t","50423.95","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2020","2020","ha","65651","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2020","2020","t","590932.02","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01345","Peaches and nectarines","2020","2020","ha","6735","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01345","Peaches and nectarines","2020","2020","t","70012","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01342.01","Pears","2020","2020","ha","2245","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01342.01","Pears","2020","2020","t","18020","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01375","Pistachios, in shell","2020","2020","ha","2182","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01375","Pistachios, in shell","2020","2020","t","2780.13","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01346","Plums and sloes","2020","2020","ha","3128","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01346","Plums and sloes","2020","2020","t","29872","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01510","Potatoes","2020","2020","ha","53674","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01510","Potatoes","2020","2020","t","855395","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0113","Rice","2020","2020","ha","147555","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2020","2020","t","655400","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01921.01","Seed cotton, unginned","2020","2020","ha","56740","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01921.01","Seed cotton, unginned","2020","2020","t","74062","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01444","Sesame seed","2020","2020","ha","64862","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01444","Sesame seed","2020","2020","t","41855","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01801","Sugar beet","2020","2020","ha","347","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01801","Sugar beet","2020","2020","t","5032","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01802","Sugar cane","2020","2020","ha","1541","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01802","Sugar cane","2020","2020","t","40292","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01445","Sunflower seed","2020","2020","ha","362","A","Official figure",""
