Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FO","Forestry Production and Trade","008","Albania","5516","Production","1619","Wood chips and particles","2020","2020","m3","16554","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5516","Production","1620","Wood residues","2020","2020","m3","14253","A","Official figure",""
"FO","Forestry Production and Trade","032","Argentina","5516","Production","1619","Wood chips and particles","2020","2020","m3","1655327","A","Official figure",""
"FO","Forestry Production and Trade","032","Argentina","5516","Production","1620","Wood residues","2020","2020","m3","4664234","A","Official figure",""
"FO","Forestry Production and Trade","051","Armenia","5516","Production","1619","Wood chips and particles","2020","2020","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","051","Armenia","5516","Production","1620","Wood residues","2020","2020","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","036","Australia","5516","Production","1619","Wood chips and particles","2020","2020","m3","14858293","A","Official figure",""
"FO","Forestry Production and Trade","036","Australia","5516","Production","1620","Wood residues","2020","2020","m3","2577000","I","Imputed value",""
"FO","Forestry Production and Trade","040","Austria","5516","Production","1619","Wood chips and particles","2020","2020","m3","3805000","A","Official figure",""
"FO","Forestry Production and Trade","040","Austria","5516","Production","1620","Wood residues","2020","2020","m3","3374000","A","Official figure",""
"FO","Forestry Production and Trade","031","Azerbaijan","5516","Production","1619","Wood chips and particles","2020","2020","m3","100","E","Estimated value",""
"FO","Forestry Production and Trade","031","Azerbaijan","5516","Production","1620","Wood residues","2020","2020","m3","100","E","Estimated value",""
"FO","Forestry Production and Trade","112","Belarus","5516","Production","1619","Wood chips and particles","2020","2020","m3","8853000","A","Official figure",""
"FO","Forestry Production and Trade","112","Belarus","5516","Production","1620","Wood residues","2020","2020","m3","396000","A","Official figure",""
"FO","Forestry Production and Trade","056","Belgium","5516","Production","1619","Wood chips and particles","2020","2020","m3","864000","E","Estimated value",""
"FO","Forestry Production and Trade","056","Belgium","5516","Production","1620","Wood residues","2020","2020","m3","478940","E","Estimated value",""
"FO","Forestry Production and Trade","064","Bhutan","5516","Production","1619","Wood chips and particles","2020","2020","m3","3121","I","Imputed value",""
"FO","Forestry Production and Trade","064","Bhutan","5516","Production","1620","Wood residues","2020","2020","m3","300","I","Imputed value",""
"FO","Forestry Production and Trade","068","Bolivia (Plurinational State of)","5516","Production","1620","Wood residues","2020","2020","m3","402000","I","Imputed value",""
"FO","Forestry Production and Trade","070","Bosnia and Herzegovina","5516","Production","1619","Wood chips and particles","2020","2020","m3","180000","A","Official figure",""
"FO","Forestry Production and Trade","070","Bosnia and Herzegovina","5516","Production","1620","Wood residues","2020","2020","m3","87000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1619","Wood chips and particles","2020","2020","m3","11788000","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1620","Wood residues","2020","2020","m3","19140000","I","Imputed value",""
"FO","Forestry Production and Trade","100","Bulgaria","5516","Production","1619","Wood chips and particles","2020","2020","m3","93369","E","Estimated value",""
"FO","Forestry Production and Trade","100","Bulgaria","5516","Production","1620","Wood residues","2020","2020","m3","0","E","Estimated value",""
"FO","Forestry Production and Trade","120","Cameroon","5516","Production","1620","Wood residues","2020","2020","m3","16000","I","Imputed value",""
"FO","Forestry Production and Trade","124","Canada","5516","Production","1619","Wood chips and particles","2020","2020","m3","13582900","A","Official figure",""
"FO","Forestry Production and Trade","124","Canada","5516","Production","1620","Wood residues","2020","2020","m3","8774000","E","Estimated value",""
"FO","Forestry Production and Trade","152","Chile","5516","Production","1619","Wood chips and particles","2020","2020","m3","10691800","A","Official figure",""
