ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ABW,Aruba,total,Sanitation,2020,4.6721,4979.76046,Sewage treated
ALB,Albania,total,Sanitation,2020,9.28909,266304.29742,Faecal sludge treated
ALB,Albania,urban,Sanitation,2020,3.20696,57105.02119,Faecal sludge treated
ALB,Albania,total,Sanitation,2020,16.88907,484184.11489,Disposed insitu
ALB,Albania,urban,Sanitation,2020,5.83078,103826.12826,Disposed insitu
ALB,Albania,total,Sanitation,2020,26.41708,757337.81759,Sewage treated
ALB,Albania,rural,Sanitation,2020,10.47843,113815.89822,Sewage treated
ALB,Albania,urban,Sanitation,2020,36.13957,643521.88699,Sewage treated
AND,Andorra,total,Sanitation,2020,0,0,Faecal sludge treated
AND,Andorra,rural,Sanitation,2020,0,0,Faecal sludge treated
AND,Andorra,urban,Sanitation,2020,0,0,Faecal sludge treated
AND,Andorra,total,Sanitation,2020,0,0,Disposed insitu
AND,Andorra,rural,Sanitation,2020,0,0,Disposed insitu
AND,Andorra,urban,Sanitation,2020,0,0,Disposed insitu
AND,Andorra,total,Sanitation,2020,100,77699.99886,Sewage treated
AND,Andorra,rural,Sanitation,2020,100,9389.2686,Sewage treated
AND,Andorra,urban,Sanitation,2020,100,68310.734,Sewage treated
ARE,United Arab Emirates,total,Sanitation,2020,2.95738,274660.7154,Faecal sludge treated
ARE,United Arab Emirates,rural,Sanitation,2020,6.28875,75646.67493,Faecal sludge treated
ARE,United Arab Emirates,urban,Sanitation,2020,2.4617,199014.03955,Faecal sludge treated
ARE,United Arab Emirates,total,Sanitation,2020,2.95744,274666.00985,Disposed insitu
ARE,United Arab Emirates,rural,Sanitation,2020,6.28887,75648.13312,Disposed insitu
ARE,United Arab Emirates,urban,Sanitation,2020,2.46175,199017.8758,Disposed insitu
ARE,United Arab Emirates,total,Sanitation,2020,92.54676,8595085.14237,Sewage treated
ARE,United Arab Emirates,rural,Sanitation,2020,85.93887,1033749.77067,Sewage treated
ARE,United Arab Emirates,urban,Sanitation,2020,93.52996,7561335.41045,Sewage treated
ARG,Argentina,urban,Sanitation,2020,4.48114,1858918.79256,Faecal sludge treated
ARG,Argentina,urban,Sanitation,2020,12.09162,5015982.71268,Disposed insitu
ARG,Argentina,urban,Sanitation,2020,29.61567,12285510.97617,Sewage treated
ARM,Armenia,total,Sanitation,2020,0,0,Faecal sludge treated
ARM,Armenia,urban,Sanitation,2020,0,0,Faecal sludge treated
ARM,Armenia,total,Sanitation,2020,10.8295,303833.24344,Disposed insitu
ARM,Armenia,urban,Sanitation,2020,0,0,Disposed insitu
ARM,Armenia,total,Sanitation,2020,0,0,Sewage treated
ARM,Armenia,rural,Sanitation,2020,0,0,Sewage treated
ARM,Armenia,urban,Sanitation,2020,0,0,Sewage treated
ASM,American Samoa,total,Sanitation,2020,5.48474,2533.34486,Faecal sludge treated
ASM,American Samoa,total,Sanitation,2020,6.42616,2968.18032,Disposed insitu
ASM,American Samoa,total,Sanitation,2020,25.0775,11583.0473,Sewage treated
AUS,Australia,total,Sanitation,2020,1.5398,395268.61291,Faecal sludge treated
AUS,Australia,total,Sanitation,2020,1.56053,400589.43156,Disposed insitu
AUS,Australia,total,Sanitation,2020,92.51341,23748239.36603,Sewage treated
AUT,Austria,total,Sanitation,2020,0.81285,72406.59863,Faecal sludge treated
AUT,Austria,rural,Sanitation,2020,0.83932,30841.87771,Faecal sludge treated
AUT,Austria,urban,Sanitation,2020,0.79426,41564.72014,Faecal sludge treated
AUT,Austria,total,Sanitation,2020,6.28122,559517.07905,Disposed insitu
AUT,Austria,rural,Sanitation,2020,14.09534,517952.35993,Disposed insitu
AUT,Austria,urban,Sanitation,2020,0.79426,41564.72014,Disposed insitu
AUT,Austria,total,Sanitation,2020,92.57441,8246321.66231,Sewage treated
AUT,Austria,rural,Sanitation,2020,84.32809,3098750.32029,Sewage treated
AUT,Austria,urban,Sanitation,2020,98.36485,5147571.24212,Sewage treated
AZE,Azerbaijan,urban,Sanitation,2020,4.11455,238660.60103,Faecal sludge treated
AZE,Azerbaijan,urban,Sanitation,2020,4.45685,258515.2408,Disposed insitu
AZE,Azerbaijan,urban,Sanitation,2020,51.59581,2992765.68432,Sewage treated
BEL,Belgium,total,Sanitation,2020,5.45293,630452.49898,Faecal sludge treated
BEL,Belgium,total,Sanitation,2020,5.45293,630452.49898,Disposed insitu
BEL,Belgium,total,Sanitation,2020,83.15246,9613851.62015,Sewage treated
BEN,Benin,total,Sanitation,2020,0,0,Faecal sludge treated
BEN,Benin,rural,Sanitation,2020,0,0,Faecal sludge treated
BEN,Benin,urban,Sanitation,2020,0,0,Faecal sludge treated
BEN,Benin,total,Sanitation,2020,2.43373,307699.25403,Disposed insitu
BEN,Benin,rural,Sanitation,2020,1.73065,112872.11351,Disposed insitu
BEN,Benin,urban,Sanitation,2020,3.18284,194827.14016,Disposed insitu
BEN,Benin,total,Sanitation,2020,0.24682,31206.28964,Sewage treated
BEN,Benin,rural,Sanitation,2020,0.05328,3475.01936,Sewage treated
BEN,Benin,urban,Sanitation,2020,0.45304,27731.27038,Sewage treated
BFA,Burkina Faso,total,Sanitation,2020,0,0,Faecal sludge treated
BFA,Burkina Faso,rural,Sanitation,2020,0,0,Faecal sludge treated
BFA,Burkina Faso,urban,Sanitation,2020,0,0,Faecal sludge treated
BFA,Burkina Faso,total,Sanitation,2020,9.06722,1951504.14479,Disposed insitu
BFA,Burkina Faso,rural,Sanitation,2020,7.89767,1179532.41145,Disposed insitu
BFA,Burkina Faso,urban,Sanitation,2020,11.71886,771971.68991,Disposed insitu
BFA,Burkina Faso,total,Sanitation,2020,0.09286,19985.96633,Sewage treated
BFA,Burkina Faso,rural,Sanitation,2020,0.00129,192.33366,Sewage treated
BFA,Burkina Faso,urban,Sanitation,2020,0.30048,19793.63214,Sewage treated
BGD,Bangladesh,total,Sanitation,2020,0,0,Faecal sludge treated
BGD,Bangladesh,rural,Sanitation,2020,0,0,Faecal sludge treated
BGD,Bangladesh,urban,Sanitation,2020,0,0,Faecal sludge treated
BGD,Bangladesh,total,Sanitation,2020,25.94051,43429845.53175,Disposed insitu
BGD,Bangladesh,rural,Sanitation,2020,29.2736,30299543.90109,Disposed insitu
BGD,Bangladesh,urban,Sanitation,2020,20.54297,13130303.68399,Disposed insitu
BGD,Bangladesh,total,Sanitation,2020,3.088,5169966.36566,Sewage treated
BGD,Bangladesh,rural,Sanitation,2020,0.24624,254867.39572,Sewage treated
BGD,Bangladesh,urban,Sanitation,2020,7.6899,4915098.92848,Sewage treated
BGR,Bulgaria,total,Sanitation,2020,2.84557,198597.22838,Faecal sludge treated
BGR,Bulgaria,rural,Sanitation,2020,8.6854,147384.04634,Faecal sludge treated
BGR,Bulgaria,urban,Sanitation,2020,0.96953,51213.18363,Faecal sludge treated
BGR,Bulgaria,total,Sanitation,2020,2.89981,202383.12315,Disposed insitu
BGR,Bulgaria,rural,Sanitation,2020,8.85097,150193.65499,Disposed insitu
BGR,Bulgaria,urban,Sanitation,2020,0.98801,52189.46978,Disposed insitu
BGR,Bulgaria,total,Sanitation,2020,65.69708,4585114.40491,Sewage treated
BGR,Bulgaria,rural,Sanitation,2020,42.63956,723557.68559,Sewage treated
BGR,Bulgaria,urban,Sanitation,2020,73.10428,3861556.86329,Sewage treated
BHR,Bahrain,total,Sanitation,2020,7.69865,113745.21725,Faecal sludge treated
BHR,Bahrain,total,Sanitation,2020,0,0,Disposed insitu
BHR,Bahrain,total,Sanitation,2020,83.90686,1239697.88162,Sewage treated
BIH,Bosnia and Herzegovina,urban,Sanitation,2020,3.61309,58773.59112,Faecal sludge treated
BIH,Bosnia and Herzegovina,urban,Sanitation,2020,3.90956,63596.15198,Disposed insitu
BIH,Bosnia and Herzegovina,urban,Sanitation,2020,45.57331,741333.39194,Sewage treated
BLR,Belarus,total,Sanitation,2020,4.02137,387408.39097,Faecal sludge treated
BLR,Belarus,rural,Sanitation,2020,0,0,Faecal sludge treated
BLR,Belarus,urban,Sanitation,2020,5.05941,387408.38919,Faecal sludge treated
BLR,Belarus,total,Sanitation,2020,8.9913,866198.68123,Disposed insitu
BLR,Belarus,rural,Sanitation,2020,27.58599,545252.01078,Disposed insitu
BLR,Belarus,urban,Sanitation,2020,4.19144,320946.69677,Disposed insitu
BLR,Belarus,total,Sanitation,2020,62.08368,5980980.69168,Sewage treated
BLR,Belarus,rural,Sanitation,2020,22.1542,437889.8903,Sewage treated
BLR,Belarus,urban,Sanitation,2020,72.3907,5543090.79825,Sewage treated
BMU,Bermuda,total,Sanitation,2020,1.5,960.465,Sewage treated
BMU,Bermuda,urban,Sanitation,2020,1.5,960.465,Sewage treated
